x,y
0.0,4.800946006497334
0.3448275862068966,4.286383679234199
0.6896551724137931,3.9299447385289945
1.0344827586206897,3.8016487968571584
1.3793103448275863,3.292263158406159
1.7241379310344829,2.8711677242277636
2.0689655172413794,2.623485747625126
2.413793103448276,2.3533967838563363
2.7586206896551726,2.073575978713783
3.103448275862069,2.053702167732863
3.4482758620689657,1.9022510125749506
3.793103448275862,1.6625807981507727
4.137931034482759,1.7513360408432328
4.482758620689655,1.623267425661448
4.827586206896552,1.4827361719234848
5.172413793103448,1.4925777477543946
5.517241379310345,1.250562607593635
5.862068965517242,1.365287611843468
6.206896551724138,1.3121516243869914
6.551724137931035,1.2723659972622792
6.896551724137931,1.3221321743621437
7.241379310344827,1.0924844331294874
7.586206896551724,1.2613589139611732
7.931034482758621,1.3815345759160567
8.275862068965518,1.1517452623136863
8.620689655172415,1.1732152668582782
8.96551724137931,1.3530752528721323
9.310344827586208,1.233034932025219
9.655172413793103,1.1878841772183292
10.0,1.2183758156157075
